GC	start	end	Chromosome	type	Entrezgene
60.38	18042	39335	HG1524_PATCH	protein_coding	6011
57.19	50110	52688	HG1524_PATCH	TEC	100130386
41.48	22071756	22096007	Y	protein_coding	442862
46.57	6390431	6411564	Y	lncRNA	100101116
35.59	20575776	20593154	Y	protein_coding	9086
42.58	22973819	23005465	Y	protein_coding	9083
45.80	6470773	6473630	Y	lncRNA	100101118
57.49	8637	43920	HG152_PATCH	protein_coding	54472
60.38	44035	44973	HG152_PATCH	lncRNA	255512
63.85	124165	196955	HG152_PATCH	protein_coding	9024
46.54	22100814	22147484	Y	lncRNA	102725532
46.58	9753156	9774289	Y	lncRNA	50858
64.56	294027	312247	HG152_PATCH	protein_coding	1850
51.87	311329	339160	HG152_PATCH	lncRNA	338651
45.80	9691100	9693957	Y	lncRNA	84673
64.76	324318	325259	HG152_PATCH	protein_coding	387264
59.30	337153	338270	HG152_PATCH	protein_coding	440021
63.29	347541	348439	HG152_PATCH	protein_coding	387266
58.59	360934	362114	HG152_PATCH	protein_coding	387267
62.11	369751	370906	HG152_PATCH	protein_coding	439915
62.92	405573	407832	HG152_PATCH	lncRNA	387742
66.07	423245	425605	HG152_PATCH	lncRNA	100132464
41.38	8704472	8705283	Y	lncRNA	252952
55.21	203723	274455	HG152_PATCH	protein_coding	81532
42.25	22936455	22973284	Y	lncRNA	114761
43.06	9784372	9833895	Y	lncRNA	252954
53.34	9527880	9530682	Y	protein_coding	100289087
53.34	9527880	9530682	Y	protein_coding	728137
42.67	22851584	22852715	Y	lncRNA	474152
42.67	22851584	22852715	Y	lncRNA	252949
47.43	22144966	22146831	Y	lncRNA	441543
41.90	6357219	6369921	Y	lncRNA	100873964
53.42	9466955	9469749	Y	protein_coding	728403
53.42	9466955	9469749	Y	protein_coding	728137
53.42	9466955	9469749	Y	protein_coding	64591
53.42	9466955	9469749	Y	protein_coding	7258
45.82	6443434	6450685	Y	lncRNA	100101115
50.75	22296798	22298876	Y	lncRNA	83863
46.54	22438940	22485592	Y	lncRNA	102725532
46.54	22438940	22485592	Y	lncRNA	101929148
37.00	21880076	21894526	Y	protein_coding	378949
38.47	20464916	20575519	Y	lncRNA	246119
39.22	18731440	18773735	Y	protein_coding	159119
38.47	18581206	18590521	Y	lncRNA	425057
38.75	18772706	19077416	Y	lncRNA	83869
36.89	197162	202114	HG1532_PATCH	lncRNA	252951
53.23	225079	227881	HG1532_PATCH	protein_coding	728403
38.05	19744756	19759978	Y	lncRNA	105377224
45.71	235085	303872	HG1532_PATCH	lncRNA	105379269
38.66	19703865	19744939	Y	protein_coding	8284
53.35	204746	207566	HG1532_PATCH	protein_coding	728395
53.35	204746	207566	HG1532_PATCH	protein_coding	7258
53.43	488788	491602	HG1532_PATCH	protein_coding	7258
45.70	460285	506463	HG1532_PATCH	lncRNA	100289188
40.49	214793	222683	HG1532_PATCH	lncRNA	105379268
39.22	18546691	18588963	Y	protein_coding	159119
39.22	18546691	18588963	Y	protein_coding	86614
51.18	3579067	3580041	Y	protein_coding	90655
36.92	22168542	22182982	Y	protein_coding	378951
36.92	22168542	22182982	Y	protein_coding	159163
44.23	18025787	18027746	Y	protein_coding	9426
42.58	25030901	25062548	Y	protein_coding	442868
42.25	25063083	25099892	Y	lncRNA	474150
35.66	24833843	24907040	Y	protein_coding	57135
44.31	17878260	17880220	Y	protein_coding	203611
46.62	2786855	2787682	Y	protein_coding	6736
40.56	2841602	2932000	Y	protein_coding	6192
41.86	23101	24163	HG1708_PATCH	protein_coding	283093
43.21	74500	75420	HG1708_PATCH	protein_coding	403257
37.27	2935281	2982506	Y	protein_coding	7544
37.66	2966844	3002626	Y	lncRNA	107987337
37.70	12904108	12920478	Y	protein_coding	8653
37.54	13234577	13480673	Y	protein_coding	7404
53.03	2459	2524	HG1815_PATCH	miRNA	100500816
39.40	30718	130818	HG1815_PATCH	protein_coding	79602
50.45	134107	260810	HG1815_PATCH	protein_coding	93589
57.80	162411	178897	HG1815_PATCH	protein_coding	654429
54.05	271346	278718	HG1815_PATCH	lncRNA	100271702
38.72	288197	346679	HG1815_PATCH	protein_coding	196513
44.01	561629	565623	HG1815_PATCH	lncRNA	100874234
48.13	1016616	1020336	HG1815_PATCH	lncRNA	100874235
54.44	1024117	1039316	HG1815_PATCH	lncRNA	100652846
47.12	312916	1046066	HG1815_PATCH	protein_coding	100874369
47.12	312916	1046066	HG1815_PATCH	protein_coding	775
42.71	13703899	13706024	Y	protein_coding	9087
61.97	13985772	13986473	Y	protein_coding	9084
36.06	24763069	24813492	Y	protein_coding	57054
35.94	23129355	23199010	Y	protein_coding	1617
41.49	6865918	6911752	Y	protein_coding	266
43.32	6910686	7101970	Y	protein_coding	90665
35.43	23219447	23291356	Y	protein_coding	57055
53.20	6246223	6249019	Y	protein_coding	64591
33.48	14793642	14804033	Y	lncRNA	100874056
36.96	21903618	21918042	Y	protein_coding	378950
38.63	14522573	14845654	Y	protein_coding	22829
43.14	12538	26373	HG1832_PATCH	protein_coding	56256
42.29	107994	459395	HG1832_PATCH	protein_coding	55733
36.13	3002887	3200509	Y	lncRNA	100873962
61.89	14056227	14056958	Y	protein_coding	353513
42.67	20756108	20781032	Y	protein_coding	140032
46.62	21565092	21605081	Y	lncRNA	83868
35.66	5000226	5742224	Y	protein_coding	83259
35.66	5000226	5742224	Y	protein_coding	27328
31.94	23936727	23941622	Y	lncRNA	474148
41.35	24045229	24048019	Y	protein_coding	253175
42.58	24485332	24486463	Y	lncRNA	474152
42.58	24485332	24486463	Y	lncRNA	474151
42.24	24570202	24607025	Y	lncRNA	474149
42.59	24607560	24639207	Y	protein_coding	442867
57.85	25482908	25486705	Y	lncRNA	114758
31.92	25728490	25733388	Y	lncRNA	114760
41.35	25622117	25624902	Y	protein_coding	9085
36.95	22403410	22417881	Y	protein_coding	378951
53.32	9487267	9490081	Y	protein_coding	7258
36.99	21511338	21525786	Y	protein_coding	378948
36.98	21534879	21549326	Y	protein_coding	378949
36.98	21534879	21549326	Y	protein_coding	5940
40.75	9458613	9464357	Y	lncRNA	100289150
37.20	22308859	22316205	Y	lncRNA	159162
42.65	776	30736	HG1_PATCH	lncRNA	105370409
51.07	6242446	6243610	Y	lncRNA	100101121
40.50	9479053	9484654	Y	lncRNA	100289188
38.87	8783310	8817382	Y	lncRNA	83866
44.12	239198	353533	HG1_PATCH	lncRNA	55449
39.87	6256267	6263953	Y	lncRNA	100132932
40.44	9497287	9505159	Y	lncRNA	107987341
38.47	18729882	18739197	Y	lncRNA	83864
57.82	352987	370707	HG1_PATCH	protein_coding	90668
34.28	17768980	17770560	Y	lncRNA	9082
42.20	2752083	2854641	Y	lncRNA	100132596
58.07	371815	379078	HG1_PATCH	protein_coding	9362
49.83	381085	415992	HG1_PATCH	protein_coding	4901
54.84	24209967	24214831	Y	lncRNA	401634
54.84	24209967	24214831	Y	lncRNA	84559
39.44	19455431	19567092	Y	lncRNA	105377223
39.44	19455431	19567092	Y	lncRNA	286554
49.20	395031	411576	HG1_PATCH	protein_coding	5106
50.99	415173	426220	HG1_PATCH	protein_coding	80344
36.42	19567313	19606274	Y	lncRNA	246126
60.83	432253	433827	HG1_PATCH	protein_coding	161247
57.43	437141	439945	HG1_PATCH	protein_coding	5720
53.51	439937	442569	HG1_PATCH	protein_coding	51016
52.29	444340	448548	HG1_PATCH	protein_coding	5721
36.89	9329880	9334832	Y	lncRNA	252951
53.35	9337464	9340284	Y	protein_coding	728395
53.35	9337464	9340284	Y	protein_coding	7258
59.74	444467	444543	HG1_PATCH	miRNA	102465801
52.92	447661	461638	HG1_PATCH	protein_coding	55072
40.42	9367803	9375681	Y	lncRNA	105379269
40.48	9388122	9396027	Y	lncRNA	105379270
53.23	9357797	9360599	Y	protein_coding	728403
53.69	462243	467543	HG1_PATCH	protein_coding	10379
53.26	9398421	9401223	Y	protein_coding	100289087
53.26	9398421	9401223	Y	protein_coding	728137
55.21	472831	481235	HG1_PATCH	protein_coding	9985
58.10	481197	489847	HG1_PATCH	protein_coding	79711
40.48	9347511	9355401	Y	lncRNA	105379268
44.30	7273972	7381548	Y	lncRNA	5616
34.28	18135449	18137029	Y	lncRNA	353515
50.99	490127	496665	HG1_PATCH	protein_coding	10548
58.28	333933	386955	Y	protein_coding	28227
50.36	506674	509340	HG1_PATCH	protein_coding	283629
54.54	1336616	1382689	Y	protein_coding	3563
50.64	510561	514847	HG1_PATCH	protein_coding	29082
48.23	1462581	1537185	Y	protein_coding	286530
57.28	1386152	1392113	Y	protein_coding	293
52.08	1615059	1643081	Y	protein_coding	438
50.75	514921	517048	HG1_PATCH	protein_coding	145553
47.11	2219506	2502805	Y	protein_coding	207063
44.50	514933	533330	HG1_PATCH	protein_coding	100528064
43.50	517835	533345	HG1_PATCH	protein_coding	4738
52.23	1403139	1453762	Y	protein_coding	8623
58.50	1396427	1399402	Y	lncRNA	751580
46.62	533400	540220	HG1_PATCH	protein_coding	51292
60.91	1591604	1602520	Y	protein_coding	8227
53.82	276322	303356	Y	protein_coding	55344
49.62	2486414	2500976	Y	protein_coding	9189
84.38	2609191	2609254	Y	miRNA	102464837
39.58	2612988	2615347	Y	lncRNA	100359394
47.38	2691187	2741309	Y	protein_coding	4267
53.30	540621	543652	HG1_PATCH	protein_coding	26277
54.94	550092	565410	HG1_PATCH	protein_coding	7051
51.23	624344	659411	Y	protein_coding	6473
53.33	1293918	1293992	Y	miRNA	100500894
57.92	566516	572717	HG1_PATCH	protein_coding	5875
50.88	1268800	1310381	Y	protein_coding	1438
47.91	591576	600758	HG1_PATCH	protein_coding	115817
57.60	304529	318796	Y	protein_coding	8225
47.00	2566024	2609207	Y	lncRNA	101928092
50.63	600828	610102	HG1_PATCH	protein_coding	161424
43.14	2609340	2658924	Y	lncRNA	401577
54.84	606074	612408	HG1_PATCH	protein_coding	27141
55.70	606712	613031	HG1_PATCH	protein_coding	56413
46.83	1190490	1212723	Y	protein_coding	64109
53.67	612428	619014	HG1_PATCH	protein_coding	1241
38.75	57067865	57130289	Y	protein_coding	6845
54.43	619327	636071	HG1_PATCH	protein_coding	196883
55.85	57184216	57197337	Y	protein_coding	3581
55.85	637003	641000	HG1_PATCH	protein_coding	11035
56.84	666651	680582	HG1_PATCH	protein_coding	4776
44.99	254713	270255	HG1_PATCH	protein_coding	10901
43.41	270920	312726	HG1_PATCH	protein_coding	317749
43.57	313391	352355	HG1_PATCH	lncRNA	728635
41.19	36471	46043	HG2021_PATCH	protein_coding	342900
57.17	85226	94077	HG2021_PATCH	protein_coding	9149
50.57	89592	89678	HG2021_PATCH	miRNA	102465974
48.26	94334	106255	HG2021_PATCH	protein_coding	2091
49.94	246308	256907	HG2021_PATCH	protein_coding	5704
39.84	259277	296181	HG2021_PATCH	protein_coding	339327
39.66	303403	331374	HG2021_PATCH	protein_coding	163131
38.52	344295	366081	HG2021_PATCH	protein_coding	284323
51.95	123199	209777	HG2021_PATCH	protein_coding	8857
63.41	16044	16524	HG2002_PATCH	protein_coding	8290
57.65	48178	49072	HG2002_PATCH	protein_coding	92815
52.96	49306	51669	HG2002_PATCH	protein_coding	128312
35.44	53273	53351	HG2002_PATCH	miRNA	100616308
55.49	78581	87387	HG2002_PATCH	protein_coding	149603
60.50	149485	149603	HG2002_PATCH	rRNA	100169751
60.50	151724	151842	HG2002_PATCH	rRNA	100169753
60.50	212165	212283	HG2002_PATCH	rRNA	100169763
60.50	212165	212283	HG2002_PATCH	rRNA	100169754
60.50	221127	221245	HG2002_PATCH	rRNA	100169767
59.66	223369	223487	HG2002_PATCH	rRNA	100169768
45.48	312483	323668	HG2002_PATCH	protein_coding	58480
63.87	31223	35196	HG2030_PATCH	protein_coding	29989
52.81	154870	162282	HG2030_PATCH	protein_coding	6838
56.87	164406	174225	HG2030_PATCH	protein_coding	6837
50.45	174312	177520	HG2030_PATCH	protein_coding	6130
37.33	175490	175564	HG2030_PATCH	snoRNA	26820
39.73	176550	176622	HG2030_PATCH	snoRNA	26815
40.91	176941	177006	HG2030_PATCH	snoRNA	26813
53.97	177852	182770	HG2030_PATCH	protein_coding	6834
59.58	182644	187252	HG2030_PATCH	protein_coding	6835
52.38	187544	202260	HG2030_PATCH	protein_coding	6836
54.49	202460	232190	HG2030_PATCH	protein_coding	169436
51.72	232153	244190	HG2030_PATCH	protein_coding	57109
55.14	240452	285496	HG2030_PATCH	protein_coding	11093
36.89	126609	266435	HG2022_PATCH	unprocessed_pseudogene	101930420
58.04	286059	296942	HG2030_PATCH	protein_coding	11094
61.25	297188	305221	HG2030_PATCH	protein_coding	11182
49.60	76358	102118	HG2030_PATCH	protein_coding	28
44.31	116955	119843	HG2023_PATCH	protein_coding	448831
35.88	33800	56132	HG2023_PATCH	protein_coding	2483
50.28	200222	211819	HG2023_PATCH	protein_coding	100288687
52.06	310221	311920	HG2052_PATCH	protein_coding	9027
40.52	398602	406898	HG2052_PATCH	protein_coding	51002
40.22	431280	449630	HG2052_PATCH	protein_coding	8446
60.00	7059	11175	HG2031_PATCH	lncRNA	731779
42.94	453681	486646	HG2052_PATCH	protein_coding	388960
61.69	23024	33840	HG2031_PATCH	protein_coding	2843
63.69	56493	59128	HG2031_PATCH	lncRNA	105375790
41.93	310581	367007	HG2052_PATCH	lncRNA	200420
62.40	58549	99008	HG2031_PATCH	protein_coding	11156
51.36	100379	173784	HG2031_PATCH	protein_coding	389690
53.51	17379	62648	HG2058_PATCH	protein_coding	6195
61.54	42160	42211	HG2058_PATCH	miRNA	100302190
57.99	991	10231	HG2046_PATCH	protein_coding	8711
58.44	10184	15299	HG2046_PATCH	protein_coding	57048
57.35	23432	24554	HG2046_PATCH	protein_coding	254863
59.54	25331	40317	HG2046_PATCH	protein_coding	57555
60.28	40781	42089	HG2046_PATCH	protein_coding	374768
62.21	46073	48025	HG2046_PATCH	protein_coding	201243
55.83	49314	53277	HG2046_PATCH	protein_coding	107983988
63.96	55892	58136	HG2046_PATCH	protein_coding	284114
56.80	58730	65394	HG2046_PATCH	protein_coding	2256
51.91	65518	78167	HG2046_PATCH	protein_coding	1140
54.92	79823	104720	HG2046_PATCH	protein_coding	57659
58.20	101789	103953	HG2046_PATCH	protein_coding	643664
49.69	104823	135071	HG2046_PATCH	protein_coding	5430
41.80	182302	205681	HG2057_PATCH	protein_coding	347744
40.66	205856	220666	HG2057_PATCH	protein_coding	55003
47.49	233799	242013	HG2057_PATCH	protein_coding	51522
43.51	3107	140252	HG2057_PATCH	protein_coding	2651
45.82	80547	119527	HG2066_PATCH	protein_coding	55888
42.72	82711	211007	HG2066_PATCH	lncRNA	112840933
45.57	103577	125048	HG2066_PATCH	protein_coding	285349
40.20	110242	173825	HG2066_PATCH	protein_coding	110354863
40.20	110242	173825	HG2066_PATCH	protein_coding	10168
42.54	142482	150151	HG2066_PATCH	lncRNA	100874094
42.60	174086	186145	HG2066_PATCH	protein_coding	7584
40.62	237993	249181	HG2066_PATCH	protein_coding	91392
39.42	254946	262433	HG2066_PATCH	protein_coding	115560
41.50	263011	286969	HG2066_PATCH	protein_coding	57456
41.47	287071	398726	HG2066_PATCH	protein_coding	56992
76.60	387238	387331	HG2066_PATCH	miRNA	693149
51.92	387254	391020	HG2066_PATCH	protein_coding	131616
46.73	399958	440340	HG2066_PATCH	protein_coding	7047
42.59	17120	35990	HG2066_PATCH	protein_coding	285346
35.84	22724	274568	HG2060_PATCH	lncRNA	440040
40.97	5553637	5614880	21	lncRNA	102724219
40.23	6986450	6997765	21	lncRNA	105379499
39.23	17763315	17792523	21	lncRNA	246312
36.96	23704260	23709345	21	lncRNA	105372749
35.26	23352929	23423778	21	lncRNA	266917
35.11	18269116	18485879	21	protein_coding	5651
37.45	15263421	15283727	21	lncRNA	105369292
36.07	29598	107366	HG2072_PATCH	protein_coding	25998
39.65	7430659	7469007	21	lncRNA	102724951
43.53	233021	240643	HG2072_PATCH	protein_coding	7162
39.97	17513043	17593579	21	protein_coding	1525
42.87	24420931	24512778	13	protein_coding	143
44.67	21954	396164	HG2069_PATCH	protein_coding	3680
44.58	263494	434459	HG2069_PATCH	lncRNA	101928153
46.02	81203	115135	HG2088_PATCH	protein_coding	402569
35.10	22008756	22098518	21	lncRNA	101927843
32.99	21723293	21737319	21	lncRNA	378828
40.56	28539318	28540355	21	lncRNA	118421
35.65	28048404	28137611	21	lncRNA	284825
36.15	24304546	24321377	21	lncRNA	101927869
39.76	23730189	23889400	13	protein_coding	4285
46.41	32311018	32393012	21	protein_coding	9875
41.45	29872613	29888405	13	lncRNA	100874059
38.43	30202630	30307551	13	protein_coding	84056
41.35	30289145	30289514	21	protein_coding	100131902
39.65	25639258	25717562	21	protein_coding	58494
53.59	32297	40131	HG2095_PATCH	lncRNA	400743
53.30	47642	88521	HG2095_PATCH	protein_coding	29943
51.48	91612	126747	HG2095_PATCH	protein_coding	51702
38.43	30973289	30977623	13	lncRNA	105370145
44.12	30103178	30108895	13	lncRNA	100874146
60.92	120403	120489	HG2095_PATCH	miRNA	100616188
49.07	153419	209227	HG2095_PATCH	protein_coding	23569
52.07	217419	246922	HG2095_PATCH	protein_coding	353238
51.69	251983	284900	HG2095_PATCH	protein_coding	55920
45.55	186223	266050	HG2077_PATCH	protein_coding	131405
43.08	30422488	30429758	13	protein_coding	171222
41.97	53371	142101	HG2077_PATCH	protein_coding	25904
38.94	30617693	30660770	13	protein_coding	10208
36.10	19893113	19900043	21	lncRNA	105372746
41.99	30456704	30617597	13	protein_coding	3146
36.08	24840550	25057746	21	lncRNA	339622
44.56	30165565	30166805	21	protein_coding	26285
37.29	26466209	26573286	21	protein_coding	116159
40.30	34073224	34143034	21	protein_coding	64968
46.60	29918647	29926651	13	lncRNA	100861573
45.59	44799503	44809630	13	lncRNA	144817
39.07	29193480	29288205	21	lncRNA	193629
34.95	27638613	27675024	21	lncRNA	105372763
38.63	49699320	49792682	13	protein_coding	3839
42.51	30281309	30282950	21	protein_coding	643803
39.02	34073578	34106260	21	protein_coding	6526
46.71	36385392	36419015	21	protein_coding	8208
50.35	15086	18803	HG2111_PATCH	protein_coding	6288
39.75	27494	71024	HG2111_PATCH	protein_coding	11234
40.71	71121	115871	HG2111_PATCH	protein_coding	2965
56.76	139239	139312	HG2111_PATCH	miRNA	100423016
43.95	146012	159877	HG2111_PATCH	protein_coding	3939
51.30	6744	15268	HG2087_PATCH	protein_coding	23587
61.53	15231	19311	HG2087_PATCH	protein_coding	1366
57.84	37046	43585	HG2087_PATCH	protein_coding	6517
58.02	43591	49967	HG2087_PATCH	protein_coding	51087
36.70	28116094	28228667	21	lncRNA	101927973
55.30	65364	70828	HG2087_PATCH	protein_coding	1984
35.45	21746973	21797415	21	lncRNA	101927821
56.28	69689	73929	HG2087_PATCH	protein_coding	2874
44.52	20403666	20525873	13	protein_coding	51084
38.15	31671000	31732118	21	protein_coding	57466
57.23	73993	87758	HG2087_PATCH	protein_coding	84461
54.55	94894	109842	HG2087_PATCH	protein_coding	9744
60.44	110254	113309	HG2087_PATCH	protein_coding	147040
59.61	113488	115584	HG2087_PATCH	protein_coding	339168
34.48	39776	39891	HG2115_PATCH	miRNA	100313770
52.81	159692	197872	HG2115_PATCH	protein_coding	2017
44.98	26511	146600	HG2115_PATCH	protein_coding	8500
40.76	2426	47592	HG2104_PATCH	protein_coding	6566
48.31	30803206	30810645	13	lncRNA	100874158
40.65	47930153	47932622	13	lncRNA	100861549
38.37	49308650	49444064	13	protein_coding	81617
50.51	59543	125319	HG2118_PATCH	protein_coding	55036
64.00	123534	123583	HG2118_PATCH	miRNA	100616121
58.33	126262	144587	HG2118_PATCH	protein_coding	2548
46.23	159075	171857	HG2118_PATCH	protein_coding	9775
48.88	23	6802	HG2114_PATCH	protein_coding	55709
58.59	14519	17020	HG2114_PATCH	protein_coding	399888
59.16	17493	22237	HG2114_PATCH	protein_coding	114900
44.90	91958	147756	HG2114_PATCH	protein_coding	79841
43.42	148861	199810	HG2114_PATCH	protein_coding	23360
43.92	45141	74973	HG2114_PATCH	protein_coding	23788
36.60	5679	28905	HG2140_PATCH	lncRNA	645949
39.96	34435450	34640803	13	lncRNA	100874179
52.43	30153744	30160592	13	lncRNA	105370141
38.12	43023203	43114213	13	protein_coding	29103
44.68	26755200	26760786	13	protein_coding	2835
36.23	30209151	30211783	21	lncRNA	266919
34.02	20998409	21543329	21	protein_coding	4685
39.78	26557683	26688948	13	protein_coding	10810
43.01	92157	119448	HG2121_PATCH	protein_coding	84694
42.52	25225	72124	HG2121_PATCH	protein_coding	9994
37.33	30214006	30216097	21	protein_coding	9073
43.60	34400112	34401072	21	protein_coding	102723451
43.60	34400112	34401072	21	protein_coding	101928147
36.07	27722379	27751233	21	lncRNA	54088
45.92	31873020	32044633	21	protein_coding	30811
37.16	17788974	17819386	21	protein_coding	54149
47.83	14578	64819	HG2158_PATCH	protein_coding	158046
32.94	37562583	37598844	13	protein_coding	10631
57.14	232109	232178	HG2158_PATCH	miRNA	100423015
34.44	22098616	22116605	21	lncRNA	54143
42.30	36320189	36386148	21	protein_coding	23515
38.11	32733899	32771792	21	protein_coding	94104
40.71	29603	237300	HG2191_PATCH	protein_coding	23522
47.64	242512	263190	HG2191_PATCH	protein_coding	338599
43.55	32790673	32813743	21	protein_coding	56245
42.47	33642400	33899861	21	protein_coding	6453
37.08	48975912	49209779	13	protein_coding	22862
43.13	316737	500722	18	protein_coding	81035
41.57	5081171	5098780	18	lncRNA	105371969
36.75	11454478	11465996	18	lncRNA	105371994
49.27	11981025	12030877	18	protein_coding	3613
61.05	1135	4297	HG2198_PATCH	protein_coding	3671
55.21	6891	39692	HG2198_PATCH	protein_coding	64220
39.07	39209116	39603528	13	protein_coding	10186
53.63	30130	165741	HG2198_PATCH	protein_coding	80125
49.08	24252749	24254439	13	lncRNA	100874231
47.58	167028	196915	HG2198_PATCH	protein_coding	1583
57.81	238558	263227	HG2198_PATCH	protein_coding	8482
36.74	18878	83690	HG2219_PATCH	protein_coding	26046
36.80	60012734	60044357	13	lncRNA	100874195
43.60	9708275	9862551	18	protein_coding	11031
55.26	240626	240701	HG2198_PATCH	miRNA	102465530
47.95	275246	290451	HG2198_PATCH	protein_coding	84993
36.45	42272152	42323261	13	protein_coding	11215
45.41	95118	110094	HG2219_PATCH	protein_coding	10069
44.64	290534	342905	HG2198_PATCH	lncRNA	440288
38.76	115363	145222	HG2219_PATCH	protein_coding	10600
38.81	72708367	72727629	13	protein_coding	440145
47.76	190821	191310	HG2198_PATCH	transcribed_processed_pseudogene	729739
60.81	24539139	24541720	13	lncRNA	105370295
38.32	146539	164531	HG2219_PATCH	protein_coding	10694
32.31	58211697	58233117	13	lncRNA	106144531
37.34	39009865	39038089	13	protein_coding	80209
40.73	168205	269780	HG2219_PATCH	protein_coding	56911
44.82	45534522	45615739	13	protein_coding	220081
39.18	37534940	37551536	13	lncRNA	400121
36.99	72782133	73016461	13	protein_coding	10464
35.43	36901946	36923814	18	lncRNA	105372069
45.82	10405133	10414515	18	lncRNA	101927350
40.01	721588	812546	18	protein_coding	7525
50.30	24050	352487	HG2213_PATCH	protein_coding	9811
53.62	155651	155719	HG2213_PATCH	miRNA	100616366
38.18	22723491	22907721	18	lncRNA	101927571
42.97	52097	94741	HG2231_HG2496_PATCH	protein_coding	338
36.79	72727749	72756198	13	protein_coding	79866
42.71	9615264	9619363	18	lncRNA	101927323
35.06	174636	195036	HG2231_HG2496_PATCH	protein_coding	100129278
38.99	32672673	32773023	18	protein_coding	57565
37.07	44280768	44579953	18	lncRNA	101927921
34.06	69700594	70108493	13	protein_coding	57626
44.69	27424619	27435823	13	protein_coding	2971
34.05	29629842	29650440	18	lncRNA	105372045
37.35	9102630	9134345	18	protein_coding	4729
45.88	19738	37393	HG2217_PATCH	protein_coding	338657
36.05	66990886	67002007	13	lncRNA	100874087
47.62	37312	40291	HG2217_PATCH	protein_coding	6230
35.52	67326177	67379994	13	lncRNA	100874145
33.58	68861284	68885325	13	lncRNA	338862
48.86	40363	47054	HG2217_PATCH	protein_coding	51399
34.40	66825169	66915031	13	lncRNA	100874064
38.79	40931924	41061440	13	protein_coding	1997
54.02	65787	78826	HG2217_PATCH	protein_coding	10525
48.94	89291	103577	HG2217_PATCH	protein_coding	55823
55.14	45351	52488	HG2217_PATCH	protein_coding	2542
45.05	11882622	11908366	18	protein_coding	65258
37.89	77535674	77645263	13	protein_coding	8796
40.15	110410	365012	HG2235_PATCH	protein_coding	115286
40.66	57798	210052	HG2225_PATCH	protein_coding	80343
37.64	38687077	38887131	13	protein_coding	341640
49.77	57147488	57150509	13	protein_coding	729233
38.11	75283503	75482169	13	protein_coding	9882
52.36	37243040	37565827	18	protein_coding	56853
49.77	57160632	57163653	13	protein_coding	729246
49.06	80335976	80341126	13	protein_coding	10253
49.77	57167197	57170218	13	protein_coding	729250
33.90	38349849	38363619	13	protein_coding	51569
48.78	5305	153241	HG2232_PATCH	protein_coding	3635
45.33	155389	241012	HG2232_PATCH	protein_coding	55054
47.46	221065	221340	HG2232_PATCH	scaRNA	677775
53.21	234014	234278	HG2232_PATCH	scaRNA	677772
48.72	253154	292393	HG2232_PATCH	protein_coding	6295
38.99	73054976	73077541	13	protein_coding	688
37.59	79406293	79427317	13	lncRNA	100505538
44.00	78596129	78599619	13	lncRNA	780529
45.42	45702320	45714559	13	protein_coding	220082
32.92	66977432	66985776	13	lncRNA	100874086
41.75	99200774	99386504	13	protein_coding	337867
37.82	33818069	33966558	13	protein_coding	5983
39.06	115141	403072	HG2236_PATCH	protein_coding	23228
66.15	245664	245728	HG2236_PATCH	miRNA	100500913
39.25	5142911	5197503	18	protein_coding	642597
42.88	45212995	45683688	18	protein_coding	8170
