"peak","THL60-Rep1","THL60-Rep2","THL60-Rep3","T3h-Neu-Rep1","T3h-Neu-Rep2","T3h-Neu-Rep3","T6h-Neu-Rep1","T6h-Neu-Rep2","T6h-Neu-Rep3","T12h-Neu-Rep1","T12h-Neu-Rep2","T12h-Neu-Rep3"
"chr1_15524327_15525337",58,29,16,1,31,52,35,67,0,10,2,84
"chr1_15526430_15527031",71,43,17,1,32,54,35,58,0,14,3,90
"chr1_15603302_15603937",12,12,5,1,10,19,9,16,2,1,2,26
"chr1_15616979_15617932",17,22,6,0,18,37,18,28,1,4,1,37
"chr1_15834526_15835208",21,20,9,0,12,21,15,22,0,4,1,28
"chr1_15835653_15836366",45,32,17,0,19,29,25,34,0,7,3,50
"chr1_15847354_15847998",14,18,6,0,19,17,10,21,0,3,0,21
"chr1_15886106_15886702",16,13,5,1,9,13,7,10,0,2,1,20
"chr1_16206405_16207024",32,17,8,1,20,27,14,27,0,4,4,46
"chr1_16236869_16237446",9,5,4,1,9,11,3,8,0,0,0,21
"chr1_16351872_16352754",24,11,16,1,16,28,12,33,0,4,0,41
"chr1_16366841_16367939",37,27,12,1,23,33,19,33,2,11,1,58
"chr1_16440185_16440998",19,12,6,0,17,31,12,14,0,2,1,36
"chr1_16613125_16614075",30,29,15,2,35,56,17,31,1,9,3,62
"chr1_16644256_16645218",35,27,14,1,39,69,16,38,0,12,3,66
"chr1_16913562_16914298",9,10,5,0,8,20,4,13,0,2,0,18
"chr1_17013785_17014284",6,5,4,3,12,13,4,12,3,1,0,20
"chr1_17053852_17054496",65,36,20,2,26,33,32,48,0,12,3,77
"chr1_17119342_17120147",9,7,5,1,13,17,4,10,0,0,1,21
"chr1_17281747_17282341",9,11,10,4,14,18,4,10,1,3,1,19
"chr1_18902093_18903167",37,16,10,6,28,38,18,31,1,7,1,48
"chr1_18956552_18957159",22,18,5,1,11,18,10,20,1,2,0,33
"chr1_19209966_19210713",44,26,17,2,21,34,28,35,1,8,3,48
"chr1_19251248_19251915",18,16,9,2,11,24,7,25,1,4,1,26
"chr1_19311774_19312457",18,23,8,2,15,20,13,22,1,4,1,30
"chr1_19485058_19486200",26,14,10,0,12,14,10,20,0,7,2,33
"chr1_19596604_19597492",17,18,7,4,21,19,10,15,2,6,1,25
"chr1_19882023_19882825",19,21,9,1,17,31,12,19,0,5,0,38
"chr1_20165364_20166333",16,9,7,0,18,25,9,16,0,5,1,23
"chr1_20507534_20508450",21,12,5,2,14,22,8,19,0,2,2,22
"chr1_20590195_20590822",11,8,5,2,14,19,4,7,0,3,0,19
"chr1_20661157_20661853",40,36,16,1,23,41,25,38,0,7,3,60
"chr1_20786034_20787538",62,54,25,5,31,49,35,58,2,9,1,87
"chr1_21176610_21177265",27,18,7,1,15,31,11,26,0,5,1,39
"chr1_21334037_21334811",28,22,10,0,17,21,9,26,0,4,1,33
"chr1_21768150_21768711",7,7,5,0,7,13,4,6,0,4,1,9
"chr1_21782709_21783982",45,35,22,1,34,50,29,41,0,12,2,79
"chr1_22024931_22026120",23,14,10,1,21,33,7,24,0,4,1,39
"chr1_22052353_22052911",21,13,7,0,16,18,9,16,0,1,2,34
"chr1_22451617_22452307",27,16,11,3,16,20,11,19,1,4,3,35
"chr1_23019067_23020147",27,16,11,2,19,30,14,23,2,5,2,43
"chr1_23344101_23344937",48,32,15,0,24,36,20,41,0,8,5,66
"chr1_23368079_23369390",65,49,32,0,42,60,38,70,0,14,6,109
"chr1_23559183_23559857",9,9,4,1,11,16,5,13,0,2,2,23
"chr1_23691425_23692071",13,9,5,0,17,25,6,17,0,4,3,24
"chr1_23777841_23778643",16,8,6,2,13,24,8,15,1,1,0,23
"chr1_23800339_23801110",24,14,11,0,14,24,13,29,0,5,2,37
"chr1_23807372_23808082",10,8,5,3,17,15,4,9,1,1,1,20
"chr1_23825145_23825644",7,5,3,0,4,11,4,8,0,2,0,12
"chr1_23868077_23868607",20,10,4,0,13,29,12,19,0,2,1,27
"chr1_23908590_23909521",14,12,6,2,13,27,4,11,1,1,0,20
"chr1_23958809_23960200",32,25,9,2,39,52,18,37,0,7,2,67
"chr1_23979924_23980745",34,28,17,3,25,35,14,33,2,5,1,51
"chr1_24190072_24190715",17,18,5,0,12,18,4,11,0,4,1,15
"chr1_24321782_24322568",14,9,5,1,11,22,2,13,0,3,0,20
"chr1_24415394_24415947",21,18,11,4,14,24,15,25,1,3,0,32
"chr1_24642722_24643566",58,46,30,2,34,42,38,61,0,12,3,71
"chr1_24668951_24669803",19,11,13,4,52,62,9,27,1,7,3,45
"chr1_24671421_24671669",9,6,4,1,21,22,4,8,0,4,2,23
"chr1_24672035_24672689",8,9,5,0,24,38,6,18,1,5,2,30
"chr1_24744881_24745499",39,28,20,0,23,32,22,52,0,8,3,67
"chr1_24847807_24848930",30,25,13,2,24,38,14,24,0,5,3,50
"chr1_24929485_24930618",17,17,8,1,22,29,10,16,0,4,2,26
"chr1_25022294_25023084",39,21,14,4,30,41,17,40,2,7,3,73
"chr1_25033614_25034365",19,9,10,3,19,21,9,18,0,4,1,35
"chr1_25239645_25240326",35,22,12,4,16,33,13,27,3,5,3,44
"chr1_25246726_25247884",56,33,20,3,24,45,28,60,2,12,2,71
"chr1_25266874_25268163",27,16,8,4,11,21,10,18,0,4,2,25
"chr1_25337777_25338744",37,27,10,0,19,30,18,36,2,8,2,53
"chr1_25429943_25431052",34,24,13,4,27,36,23,42,3,7,3,56
"chr1_25549397_25550030",9,6,4,1,11,18,4,9,0,2,1,17
"chr1_25615832_25616888",24,17,9,2,16,27,12,25,1,3,3,38
"chr1_25819598_25820235",17,10,11,0,13,21,6,17,0,4,1,19
"chr1_25859276_25859818",10,13,7,2,15,19,7,17,1,5,0,25
"chr1_25905234_25906697",38,22,11,4,13,33,13,33,0,5,4,44
"chr1_25997893_25998500",30,21,16,3,19,34,22,27,1,7,0,54
"chr1_26110885_26112216",40,31,14,3,26,50,21,40,2,5,2,59
"chr1_26126337_26127012",13,8,5,1,8,13,4,9,2,2,0,10
"chr1_26169543_26170221",14,11,6,0,16,16,6,12,0,3,0,28
"chr1_26233700_26234717",67,48,24,2,29,49,37,68,2,9,3,102
"chr1_26279496_26280310",16,14,10,3,15,24,7,27,0,3,2,34
"chr1_26288958_26289923",24,15,11,2,17,30,7,18,1,6,1,29
"chr1_26306155_26307030",22,16,7,0,18,36,13,35,0,3,3,32
"chr1_26378103_26378824",10,9,5,2,13,17,2,13,0,2,0,18
"chr1_26431939_26432600",41,24,18,0,20,28,18,38,0,9,2,51
"chr1_26472001_26473468",45,34,13,2,27,38,24,44,1,8,2,69
"chr1_26500082_26501373",29,17,10,1,23,29,19,31,0,9,3,53
"chr1_26541590_26542736",70,39,28,4,39,66,29,58,1,10,3,80
"chr1_26620010_26621494",56,37,24,7,30,50,25,50,2,11,4,76
"chr1_26692897_26693427",17,15,6,0,14,17,5,13,0,1,0,20
"chr1_26695318_26695918",15,10,11,0,19,20,9,11,0,3,0,29
"chr1_26743955_26744494",8,7,6,0,10,18,5,8,1,0,1,20
"chr1_26787618_26788405",25,27,12,0,21,28,21,32,0,4,3,49
"chr1_26864728_26865491",33,34,17,1,25,34,19,43,1,11,2,55
"chr1_26921330_26922062",41,22,13,0,18,34,15,30,0,4,2,54
"chr1_27001689_27002301",10,7,7,0,10,23,3,14,0,3,1,21
"chr1_27012727_27013313",10,5,5,0,10,17,5,17,1,1,3,18
"chr1_27111947_27112545",24,21,12,0,24,32,13,24,1,5,1,37
"chr1_27154654_27155499",18,14,8,2,16,27,12,25,2,5,0,32
"chr1_27234088_27234851",39,32,23,1,19,31,25,42,0,7,1,51
"chr1_27300223_27300991",13,7,8,2,17,20,5,11,2,2,0,29
"chr1_27321852_27322683",40,28,20,2,27,45,23,36,0,8,2,63
"chr1_27342758_27343760",28,18,5,2,26,38,10,31,1,2,0,41
"chr1_27392247_27392777",12,8,6,0,15,15,8,12,0,1,0,11
"chr1_27489796_27490548",25,24,10,1,16,34,15,51,0,12,0,49
"chr1_27568300_27568859",9,13,4,0,15,10,5,10,0,2,1,18
"chr1_27631444_27632124",12,8,6,1,15,23,6,13,1,3,1,22
"chr1_27725501_27726108",46,38,26,2,29,46,25,56,0,10,4,86
"chr1_27772821_27773755",35,27,14,0,27,29,16,36,0,5,3,44
"chr1_27830476_27831065",16,14,7,2,12,23,10,14,0,2,3,28
"chr1_27914415_27915050",31,15,13,1,21,33,12,33,2,6,2,40
"chr1_28087873_28089057",26,16,13,0,21,33,11,26,1,3,0,38
"chr1_28232739_28233238",10,5,4,0,4,8,4,6,0,2,1,14
"chr1_28235768_28236412",24,17,8,0,20,20,13,18,0,5,1,39
"chr1_28246996_28247624",22,25,11,0,19,25,18,34,0,4,2,35
"chr1_28259111_28259963",22,15,11,0,23,25,17,28,0,7,3,52
"chr1_28328714_28329294",21,22,5,0,14,21,15,16,0,4,1,33
"chr1_28369412_28370262",23,17,7,1,13,30,10,15,0,3,1,34
"chr1_28505673_28506271",20,22,4,0,17,22,17,19,0,5,3,26
"chr1_28552644_28553345",34,22,8,0,15,27,16,34,0,6,2,39
"chr1_28581274_28582203",29,22,12,0,15,41,17,27,0,6,2,40
"chr1_28642620_28643464",28,20,14,0,15,39,22,33,0,6,2,50
"chr1_28648037_28648993",22,19,9,1,22,29,10,22,1,5,2,35
"chr1_28736526_28737434",35,29,12,0,19,38,16,38,0,6,1,49
"chr1_28775045_28775554",6,5,4,0,5,12,2,6,0,2,1,15
"chr1_28914069_28914919",30,30,13,0,31,25,17,37,0,6,1,45
"chr1_29181214_29182421",38,35,16,1,27,44,19,43,1,7,1,68
"chr1_29230646_29231170",8,9,5,1,15,13,9,14,1,2,0,16
"chr1_30718021_30719580",82,48,36,3,48,65,44,82,2,16,4,130
"chr1_30756469_30757174",28,27,13,3,27,31,9,24,1,5,1,53
"chr1_30823931_30824733",14,12,7,0,12,28,12,23,0,2,2,27
"chr1_31065493_31066156",27,18,10,1,17,40,14,26,0,5,1,43
"chr1_31296519_31297248",47,30,18,5,29,56,22,50,2,14,4,70
"chr1_31483240_31483758",9,9,4,1,9,12,5,9,1,0,0,7
"chr1_31505824_31506377",10,8,4,0,11,20,5,7,0,1,0,15
"chr1_31644436_31645382",52,47,18,0,39,52,32,47,0,14,4,76
"chr1_31938141_31938828",28,18,12,1,15,28,24,30,0,6,1,36
"chr1_32013344_32014144",69,43,26,1,27,48,33,52,0,8,3,84
"chr1_32072427_32073360",38,17,16,4,21,38,15,30,1,9,1,49
"chr1_32179360_32180151",34,26,11,1,12,28,13,30,0,8,3,44
"chr1_32222074_32222586",15,12,3,2,9,20,9,11,2,3,0,21
"chr1_32291632_32292257",21,18,10,0,18,18,9,28,0,3,1,41
"chr1_32337134_32337635",9,6,4,1,9,13,6,10,0,2,0,17
"chr1_32351008_32351918",16,9,9,0,8,17,12,13,0,3,0,24
"chr1_32393991_32394905",51,39,21,0,36,53,34,60,0,8,1,69
"chr1_32650293_32651457",48,32,15,1,30,47,28,38,1,9,2,58
"chr1_32817133_32818104",48,36,16,2,34,46,31,61,3,10,1,74
"chr1_32964629_32965185",10,11,4,1,11,16,8,18,0,1,1,26
"chr1_32992321_32993262",26,22,5,0,21,24,8,22,0,4,0,37
"chr1_33036525_33037298",28,22,12,2,20,35,12,27,0,4,0,40
"chr1_33099255_33099779",12,7,6,0,8,16,5,9,0,1,1,13
"chr1_33127049_33127715",42,37,17,0,22,34,27,33,0,7,3,46
"chr1_33349775_33350656",20,11,6,3,12,27,6,17,0,4,0,32
"chr1_33430823_33431332",13,16,4,0,11,18,7,21,0,1,0,22
"chr1_33433536_33434329",10,6,4,1,11,14,5,8,2,2,0,18
"chr1_33472195_33472780",30,26,11,2,17,28,14,27,0,6,2,28
"chr1_34852613_34853128",9,8,4,0,9,15,8,8,0,3,1,17
"chr1_34859492_34860209",20,11,4,0,14,26,6,17,0,3,2,26
"chr1_35031407_35032279",21,22,9,1,18,29,13,23,0,2,0,28
"chr1_35192756_35193571",35,29,20,0,29,45,26,43,0,11,3,60
"chr1_35268322_35268867",9,7,4,0,5,6,2,4,0,3,0,12
"chr1_35557111_35557937",36,24,15,0,19,44,12,33,1,10,1,62
"chr1_35641206_35641784",12,6,3,0,6,15,5,11,1,3,1,15
"chr1_35718668_35719381",9,9,6,0,14,18,5,10,0,3,1,15
"chr1_35769321_35770338",30,26,12,0,22,38,12,35,0,9,3,53
"chr1_35930486_35931541",14,24,14,0,23,32,16,22,0,5,1,35
"chr1_36088344_36089304",35,25,16,4,21,31,11,30,1,11,2,54
"chr1_36149282_36149893",59,55,24,3,35,41,34,54,1,7,4,70
"chr1_36223949_36224574",66,53,31,1,31,62,42,66,0,13,8,93
"chr1_36306740_36307305",11,12,6,2,15,15,9,14,0,2,1,23
"chr1_36373638_36375028",26,20,12,2,24,43,13,29,0,7,1,46
"chr1_36385751_36386817",42,31,16,2,40,57,27,47,1,7,4,69
"chr1_36397633_36398205",15,7,5,0,10,23,7,11,0,3,0,21
"chr1_36464121_36464680",18,17,9,0,20,25,11,19,0,4,2,33
"chr1_36486464_36487308",14,9,7,0,11,22,5,12,0,3,1,23
"chr1_37514307_37514996",10,9,4,1,12,20,5,11,2,2,1,20
"chr1_37553995_37554527",5,6,5,0,5,17,5,9,0,1,1,15
"chr1_37595657_37596192",18,13,7,3,18,29,11,20,1,5,0,30
"chr1_37690222_37690942",33,25,13,1,20,38,19,25,1,4,4,46
"chr1_37692019_37692710",39,26,14,1,23,40,16,36,0,8,2,54
"chr1_37807914_37808972",19,11,6,1,11,22,6,9,2,4,1,29
"chr1_37859269_37860230",43,22,13,2,23,47,16,41,0,7,2,48
"chr1_37922749_37923300",11,8,4,1,8,11,4,12,1,3,0,14
"chr1_37931575_37932196",22,16,10,1,20,32,14,26,2,5,2,42
"chr1_37989639_37990446",25,18,9,0,22,37,13,21,0,7,3,41
"chr1_38012302_38012884",29,26,14,0,18,37,22,37,0,4,2,52
"chr1_38815794_38816504",8,8,5,1,12,18,4,9,0,3,0,19
"chr1_38859064_38860192",33,23,15,0,22,33,18,34,1,8,4,45
"chr1_38872910_38873714",45,34,16,0,18,34,16,38,0,3,1,44
"chr1_38990867_38991433",17,14,9,2,11,18,8,19,0,2,1,22
"chr1_39845565_39846280",13,7,6,0,17,26,9,16,0,7,2,28
"chr1_39883187_39883713",17,12,3,0,13,20,6,10,0,2,1,26
"chr1_39934069_39934850",24,18,6,2,18,20,9,15,1,5,2,32
"chr1_39960341_39961099",11,11,7,1,14,14,5,11,1,4,1,22
"chr1_40039944_40040955",65,50,24,2,35,50,25,56,3,12,3,77
"chr1_40161094_40161598",14,13,4,0,12,19,9,14,0,2,0,26
"chr1_40257523_40258425",59,42,24,1,30,49,26,34,0,14,2,71
"chr1_40373402_40374140",23,11,6,0,14,24,10,17,0,3,0,30
"chr1_40449742_40450606",15,13,11,0,17,13,6,18,0,4,2,30
"chr1_40531302_40531956",27,16,11,0,12,29,8,13,1,5,2,30
"chr1_40691287_40692374",80,47,22,1,33,53,36,64,1,11,7,84
"chr1_40860704_40861227",11,9,5,0,10,10,3,12,0,1,1,13
"chr1_40862043_40862625",23,23,9,2,16,22,13,24,0,4,2,37
"chr1_40979289_40980164",47,36,15,0,26,46,20,40,0,9,2,60
"chr1_41003512_41004042",20,13,8,0,12,20,6,13,0,1,2,28
"chr1_41274679_41275198",14,14,8,1,12,15,5,11,0,1,0,14
"chr1_41353615_41354245",9,10,6,3,7,15,5,11,2,1,1,16
"chr1_41360891_41361396",36,30,19,0,13,32,18,39,0,3,2,40
"chr1_41727203_41727843",13,8,4,1,7,15,3,8,2,2,0,15
"chr1_41738917_41739451",12,10,5,0,8,12,2,10,1,1,1,20
"chr1_41768493_41769072",7,9,5,1,7,15,3,3,0,2,0,13
"chr1_41802819_41803469",19,14,12,0,20,20,6,14,0,2,0,18
"chr1_42334758_42335808",16,7,9,2,11,20,6,20,1,3,1,35
"chr1_42455794_42457148",32,28,13,0,27,48,13,33,0,7,4,42
"chr1_42462804_42463496",35,29,10,0,16,29,15,36,2,9,1,42
"chr1_42658003_42658685",22,19,10,0,18,33,10,22,0,4,2,33
"chr1_42681999_42682627",29,18,11,0,23,35,18,39,0,6,2,58
"chr1_42766572_42767545",76,52,27,0,30,54,30,74,1,13,3,97
"chr1_42816877_42817541",37,37,14,0,11,30,17,26,0,6,2,45
"chr1_42846210_42846793",28,18,10,4,18,31,14,30,0,4,3,33
"chr1_42924066_42924678",11,14,8,0,15,22,7,20,0,3,0,21
"chr1_42931664_42932531",10,9,5,0,10,19,4,9,0,2,0,21
"chr1_42957963_42959143",26,23,12,1,17,36,14,24,1,5,0,40
"chr1_43172034_43172647",20,17,4,0,11,19,9,21,1,4,1,28
"chr1_43358259_43359203",27,30,12,3,20,36,16,37,0,6,1,45
"chr1_43367546_43368698",29,22,18,4,25,29,13,23,1,8,3,43
"chr1_43649736_43650703",57,37,18,0,40,55,28,51,1,11,3,82
"chr1_43707077_43707894",23,23,15,3,18,31,18,36,1,6,1,56
"chr1_43834100_43835490",20,19,9,1,15,29,5,13,1,3,0,23
"chr1_43853259_43853849",8,5,4,2,9,17,4,7,0,1,0,9
"chr1_43946292_43947042",43,34,16,1,28,49,12,36,0,8,4,61
"chr1_43969589_43970237",19,15,4,0,17,21,8,17,0,4,2,28
"chr1_43974235_43975227",30,23,12,3,24,50,16,31,1,9,3,56
"chr1_44029797_44030427",12,14,4,3,13,19,8,13,0,4,3,23
"chr1_44213131_44213887",14,14,6,0,14,25,4,14,0,4,2,22
"chr1_44355045_44355666",17,11,8,1,20,22,14,16,1,3,3,25
"chr1_44631475_44632619",19,21,10,2,14,20,9,19,0,4,1,25
"chr1_44672069_44672749",10,10,7,1,9,11,4,10,1,1,0,14
"chr1_44674056_44674725",26,14,10,1,14,17,11,27,0,4,1,34
"chr1_44739483_44740082",21,16,11,2,14,27,9,29,0,2,1,31
"chr1_44775201_44775855",12,14,5,0,12,16,6,13,0,4,1,29
"chr1_44799594_44800530",51,42,22,2,31,50,25,56,1,8,2,59
"chr1_44807502_44808188",30,18,7,2,19,34,9,19,1,4,1,33
"chr1_44986309_44986907",15,17,9,1,18,25,15,16,1,5,1,26
"chr1_45011863_45012370",16,14,5,1,14,18,5,15,1,5,2,23
"chr1_45303342_45304362",43,30,19,2,27,41,22,40,1,11,4,61
"chr1_45339789_45340579",49,31,14,0,19,35,13,32,1,7,2,46
"chr1_45490887_45491584",40,29,18,0,27,39,22,40,0,7,1,51
"chr1_45499832_45500541",45,34,20,1,23,40,15,35,0,8,2,56
"chr1_45521208_45522188",25,16,10,1,18,39,10,27,0,5,1,38
"chr1_45550435_45551084",25,18,11,3,14,29,12,12,1,2,1,33
"chr1_45583182_45584882",59,38,21,3,34,70,27,66,1,13,4,91
"chr1_45686294_45687509",100,62,41,4,44,59,36,85,1,11,9,119
"chr1_45750165_45751106",50,44,25,0,24,39,20,51,0,10,5,60
"chr1_45803357_45803902",10,11,4,0,9,12,7,7,0,1,1,15
"chr1_46043422_46044033",18,20,9,0,14,12,5,10,0,3,0,20
"chr1_46132463_46133402",69,43,26,0,35,65,33,56,1,7,5,59
"chr1_46198130_46198886",9,7,6,0,10,20,5,13,0,1,0,13
"chr1_46247019_46247938",53,35,27,0,34,49,20,55,0,9,2,75
"chr1_46303017_46303940",36,28,6,1,20,35,16,32,0,7,2,52
"chr1_46340445_46341033",16,15,7,0,15,20,6,23,0,3,3,25
"chr1_46581652_46582320",17,14,6,0,9,18,6,12,0,2,0,17
"chr1_46603979_46604669",32,25,17,1,16,24,17,31,0,5,0,41
"chr1_46668096_46668813",11,16,6,1,14,21,7,12,1,1,1,18
"chr1_46718847_46719494",42,29,18,0,19,38,14,37,0,8,4,47
"chr1_47179055_47179651",14,11,6,1,9,12,5,13,0,6,2,16
"chr1_47313863_47314592",96,74,36,0,37,62,40,75,0,12,4,108
"chr1_47333433_47334511",36,33,13,0,18,39,15,33,0,7,1,41
"chr1_47432065_47432667",9,9,3,1,9,10,3,7,0,2,2,14
"chr1_47437230_47438116",43,32,17,0,14,42,17,24,0,10,2,44
